age,tenure_years,num_claims,policy_type,annual_premium,churn
45,6,1,Health,626.38,1
55,5,0,Health,668.51,0
61,4,2,Motor,737.67,0
43,4,2,Life,694.31,0
60,12,0,Life,613.49,0
65,6,0,Health,713.78,1
46,12,0,Life,627.01,0
64,14,1,Life,723.47,0
33,9,0,Health,544.2,0
76,9,1,Health,696.42,0
70,5,1,Life,755.38,1
63,9,0,Life,660.88,0
78,9,2,Motor,824.1,1
63,13,0,Health,701.17,0
55,2,1,Health,683.01,1
46,5,1,Motor,600.16,0
57,6,1,Motor,721.17,1
35,3,0,Life,557.41,0
29,11,0,Motor,465.69,0
58,2,2,Health,701.05,0
69,5,2,Life,739.13,0
31,10,2,Health,643.82,0
23,5,1,Motor,517.54,0
52,4,0,Motor,616.84,1
32,11,0,Life,485.18,0
38,11,1,Motor,617.6,0
52,11,1,Health,571.68,0
20,7,1,Life,535.25,0
61,13,1,Health,722.19,1
58,12,0,Health,676.31,0
22,1,2,Health,574.87,0
26,9,0,Life,517.64,0
39,6,1,Health,633.03,0
56,7,2,Life,791.69,0
34,2,2,Health,723.97,0
59,9,1,Life,702.87,1
28,14,1,Health,541.3,0
26,14,0,Health,502.66,1
62,13,2,Health,743.25,1
68,1,1,Health,702.92,1
53,5,2,Motor,693.52,0
72,12,1,Health,714.25,0
73,12,0,Life,695.3,0
66,7,0,Health,678.19,0
66,10,2,Life,784.41,1
63,12,1,Health,712.85,1
69,14,0,Motor,683.44,0
53,3,3,Life,770.6,0
71,14,1,Health,730.07,0
63,3,0,Motor,689.88,1
76,11,1,Motor,766.18,1
72,6,1,Motor,682.32,0
79,8,1,Motor,757.24,1
40,2,0,Life,553.46,0
53,11,1,Life,668.95,0
74,12,0,Health,655.86,0
59,14,2,Health,740.01,0
40,12,0,Health,570.44,0
28,7,1,Health,555.0,0
39,12,1,Motor,635.56,0
35,14,1,Motor,591.76,0
24,14,1,Life,527.8,0
62,1,0,Health,668.21,1
62,10,0,Health,724.55,0
67,11,0,Life,708.05,0
61,11,1,Health,683.4,0
49,11,0,Health,679.82,0
29,3,2,Life,643.31,0
61,10,0,Health,672.11,1
39,3,0,Life,503.38,0
44,11,1,Life,631.85,1
64,3,1,Motor,741.16,1
63,6,0,Life,660.69,0
43,6,1,Health,573.38,0
30,3,0,Motor,405.2,0
67,11,0,Health,683.76,0
38,12,1,Motor,585.55,1
71,11,0,Health,673.28,0
69,13,0,Life,682.15,1
79,3,1,Health,804.17,0
20,3,2,Health,608.61,1
68,2,0,Motor,687.21,0
22,6,2,Health,610.76,0
33,2,1,Health,617.18,0
23,10,1,Life,552.71,0
22,12,0,Motor,443.2,0
69,13,1,Motor,749.26,0
39,1,3,Motor,700.26,0
49,5,2,Life,736.29,0
76,11,0,Health,739.29,0
51,10,0,Motor,627.36,0
28,10,1,Motor,544.38,0
45,13,0,Motor,545.0,0
78,12,1,Life,740.58,0
43,9,0,Health,529.46,0
22,7,2,Motor,584.59,1
29,3,0,Motor,517.55,0
61,4,2,Life,701.54,1
48,9,2,Life,670.12,1
46,6,1,Motor,603.79,0
23,5,0,Motor,494.87,0
75,2,0,Health,693.23,1
74,12,1,Life,770.63,0
65,6,0,Health,672.39,0
25,2,1,Health,543.37,0
75,3,0,Health,722.55,0
41,6,1,Motor,576.3,0
30,11,1,Health,551.45,0
59,3,1,Health,690.08,0
61,1,1,Health,804.51,0
65,13,0,Life,701.81,0
43,5,1,Motor,694.68,0
33,11,1,Motor,618.43,0
38,3,1,Health,619.05,0
71,8,1,Life,756.64,0
35,8,2,Health,644.68,0
44,7,1,Life,650.69,0
50,11,1,Motor,715.15,1
32,13,0,Health,503.48,0
64,9,4,Life,835.28,1
30,9,1,Health,592.6,1
26,10,0,Motor,557.65,1
53,8,0,Motor,626.16,0
26,2,0,Health,496.64,0
78,6,1,Health,757.07,1
33,6,0,Motor,514.26,0
45,7,0,Motor,604.05,0
33,10,1,Life,603.34,0
48,8,1,Motor,735.32,1
34,5,1,Life,634.68,1
71,9,0,Life,701.66,1
57,2,0,Life,640.52,0
62,2,1,Life,695.42,1
70,10,1,Health,657.71,0
28,6,0,Health,501.12,0
74,13,0,Health,745.51,0
76,14,1,Health,792.85,1
51,2,0,Motor,633.32,0
54,7,0,Motor,584.03,0
79,1,2,Life,853.21,0
25,10,1,Health,541.66,0
37,14,1,Life,636.48,0
55,12,0,Health,603.88,0
62,13,1,Motor,757.6,0
62,12,1,Health,727.51,0
43,7,2,Motor,652.91,1
61,1,1,Life,701.38,0
32,1,0,Motor,553.59,1
76,2,4,Life,916.73,0
38,9,1,Health,615.34,0
60,7,1,Life,678.89,1
52,7,0,Health,613.88,0
31,13,0,Life,530.48,0
73,6,0,Life,694.84,0
29,11,1,Motor,618.11,0
44,2,0,Life,508.32,0
